,Time (µs),Radius (nm)
827,8.27,7.5411963
828,8.28,7.791564
829,8.29,7.8376265
830,8.3,8.04071
831,8.31,7.802186
832,8.32,7.663273
833,8.33,7.691086
834,8.34,7.7800684
835,8.35,7.543818
836,8.36,7.7332854
837,8.37,7.6854453
838,8.38,7.736818
839,8.39,7.647532
840,8.4,7.5439925
841,8.41,7.452014
842,8.42,7.497204
843,8.43,7.7100496
844,8.44,7.7010407
845,8.45,7.65504
846,8.46,7.832261
847,8.47,7.687808
848,8.48,7.8118334
849,8.49,7.7065673
850,8.5,7.6759024
851,8.51,7.781701
852,8.52,7.859685
853,8.53,7.532036
854,8.54,7.6216035
855,8.55,7.7035217
856,8.56,7.6204653
857,8.57,7.589373
858,8.58,7.8327456
859,8.59,7.729337
860,8.6,7.676356
861,8.61,7.598386
862,8.62,7.60628
863,8.63,7.6377654
864,8.64,7.551052
865,8.65,7.719981
866,8.66,7.579497
867,8.67,7.7493057
868,8.68,7.5985384
869,8.69,7.685463
870,8.7,7.677788
871,8.71,7.5866356
872,8.72,7.5618873
873,8.73,7.9709196
874,8.74,7.7222395
875,8.75,7.696925
876,8.76,7.8588676
877,8.77,7.9399757
878,8.78,7.7229147
879,8.79,7.803225
880,8.8,7.6763372
881,8.81,7.8918657
882,8.82,7.9112306
883,8.83,8.154233
884,8.84,8.061942
885,8.85,7.87724
886,8.86,8.054702
887,8.87,7.921735
888,8.88,7.9129806
889,8.89,8.129765
890,8.9,7.978345
891,8.91,7.937022
892,8.92,8.014943
893,8.93,7.9410186
894,8.94,7.9005575
895,8.95,7.969728
896,8.96,7.946945
897,8.97,7.8688707
898,8.98,7.779528
899,8.99,7.6992416
900,9.0,7.8059473
901,9.01,7.8839874
902,9.02,7.877794
903,9.03,7.8166947
904,9.04,7.725894
905,9.05,7.8334455
906,9.06,7.7969413
907,9.07,7.783174
908,9.08,7.7874756
909,9.09,7.762117
910,9.1,7.9025903
911,9.11,7.60813
912,9.12,7.88369
913,9.13,7.9236207
914,9.14,7.8646355
915,9.15,7.807102
916,9.16,7.7613935
917,9.17,7.6861506
918,9.18,7.6275167
919,9.19,7.8890014
920,9.2,7.844191
921,9.21,7.6901383
922,9.22,7.8535676
923,9.23,7.7160125
924,9.24,7.658197
925,9.25,7.725805
926,9.26,7.6996055
927,9.27,7.76481
928,9.28,7.7581816
929,9.29,7.665994
930,9.3,7.783052
931,9.31,7.6594415
932,9.32,7.687763
933,9.33,7.4478865
934,9.34,7.597355
935,9.35,7.6922274
936,9.36,7.7404733
937,9.37,7.7393103
938,9.38,7.7330275
939,9.39,7.7616196
940,9.4,7.887973
941,9.41,7.691972
942,9.42,7.7497406
943,9.43,7.794525
944,9.44,7.766722
945,9.45,7.797442
946,9.46,7.927756
947,9.47,7.743413
948,9.48,7.746998
949,9.49,7.7699904
950,9.5,7.7440505
951,9.51,7.803649
952,9.52,7.6870604
953,9.53,7.6931677
954,9.54,7.722879
955,9.55,7.745801
956,9.56,7.7942557
957,9.57,7.646295
958,9.58,7.6595907
959,9.59,7.7060556
960,9.6,7.6246934
961,9.61,7.62034
962,9.62,7.576393
963,9.63,7.6333437
964,9.64,7.5875006
965,9.65,7.4992476
966,9.66,7.7955093
967,9.67,7.710125
968,9.68,7.7628508
969,9.69,7.6658425
970,9.7,7.759595
971,9.71,7.678158
972,9.72,7.7490654
973,9.73,7.569378
974,9.74,7.673579
975,9.75,7.713254
976,9.76,7.9798098
977,9.77,7.766239
978,9.78,7.7318068
979,9.79,7.6020217
980,9.8,7.7777033
981,9.81,7.5756974
982,9.82,7.71211
983,9.83,7.930452
984,9.84,7.9041533
985,9.85,7.8878098
986,9.86,7.838008
987,9.87,7.756172
988,9.88,7.8584
989,9.89,7.907242
990,9.9,7.9044943
