,POPC Outer,POPC Inner,POPE Outer,POPE Inner
858,342,232,312,248
859,346,244,331,269
860,334,245,315,275
861,360,230,317,264
862,344,237,319,262
863,345,243,315,276
864,331,232,328,265
865,348,235,324,277
866,355,219,333,258
867,336,239,332,262
868,343,224,318,260
869,351,226,333,252
870,349,218,322,275
871,326,227,332,248
872,348,226,316,259
873,363,214,310,251
874,351,228,303,284
875,358,225,317,266
876,351,237,314,277
877,353,226,305,278
878,353,233,319,289
879,349,218,321,283
880,356,226,297,278
881,341,226,328,266
882,350,230,318,279
883,361,211,316,263
884,350,228,319,261
885,344,220,316,257
886,335,232,302,292
887,335,222,324,257
888,339,211,304,254
889,345,211,313,257
890,346,200,288,263
891,351,219,309,261
892,344,206,292,275
893,356,200,297,264
894,334,215,286,275
895,339,215,297,275
896,358,204,297,282
897,347,215,313,265
898,341,210,305,275
899,351,216,293,279
900,346,204,329,251
901,343,223,321,260
902,348,225,298,275
903,365,207,312,255
904,352,220,306,256
905,341,217,306,275
906,324,230,324,253
907,339,224,306,273
908,338,230,320,252
909,333,234,313,259
910,332,225,331,232
911,333,235,351,245
912,328,245,318,278
913,342,234,325,263
914,360,208,332,260
915,340,230,307,275
916,339,215,303,270
917,338,211,312,264
918,355,228,306,263
919,357,226,321,279
920,367,219,314,269
921,361,209,316,263
922,357,215,297,281
923,345,229,302,265
924,353,227,304,277
925,351,231,319,261
926,351,223,314,261
927,346,230,305,276
928,350,213,315,258
929,347,230,297,268
930,357,237,328,252
931,350,222,313,268
932,351,227,307,271
933,345,230,325,253
934,350,234,312,255
935,361,252,316,261
936,342,240,313,268
937,344,236,318,250
938,346,237,326,255
939,350,230,323,269
940,337,235,319,264
941,342,224,318,263
942,346,258,317,265
943,330,252,310,249
944,339,245,334,265
945,350,219,325,259
946,341,244,323,254
947,351,250,314,251
948,341,245,313,253
949,334,246,309,263
950,320,251,310,254
951,333,252,329,255
952,334,249,326,262
953,334,272,329,256
954,344,247,313,259
955,327,225,339,245
956,341,243,328,240
957,337,230,345,229
958,319,245,331,250
959,337,253,330,257
960,338,253,325,237
961,346,238,332,240
962,338,241,309,252
963,320,253,317,254
964,350,223,313,231
965,349,232,335,246
966,332,252,333,247
967,337,245,323,243
968,328,248,331,253
969,308,266,322,258
970,336,247,314,262
971,321,257,345,243
972,329,248,334,246
973,331,241,346,233
974,339,258,351,232
975,325,242,327,250
976,325,260,337,262
977,321,247,340,248
978,329,247,335,249
979,325,263,336,245
980,331,256,338,248
981,329,246,327,250
982,335,240,329,246
983,336,240,323,251
984,336,219,328,236
985,332,231,325,241
986,339,236,343,238
987,340,220,315,251
988,330,231,316,259
989,321,230,323,248
990,314,247,321,251
991,346,232,313,252
992,334,237,321,261
993,339,234,320,259
994,335,225,313,266
995,321,239,317,261
996,331,239,318,271
997,342,239,308,261
998,336,227,318,262
999,343,231,305,269
1000,341,227,295,266
1001,347,226,306,278
