,POPC Outer,POPC Inner,POPE Outer,POPE Inner
807,2790,2526,2740,2590
808,2811,2505,2751,2579
809,2844,2472,2750,2580
810,2791,2525,2712,2618
811,2805,2511,2749,2581
812,2858,2458,2769,2561
813,2842,2474,2748,2582
814,2806,2510,2757,2573
815,2836,2480,2778,2552
816,2799,2517,2727,2603
817,2813,2503,2703,2627
818,2796,2520,2779,2551
819,2802,2514,2722,2608
820,2825,2491,2719,2611
821,2846,2470,2720,2610
822,2809,2507,2703,2627
823,2795,2521,2721,2609
824,2849,2467,2746,2584
825,2828,2488,2758,2572
826,2810,2506,2739,2591
827,2837,2479,2705,2625
828,2785,2531,2737,2593
829,2812,2504,2718,2612
830,2851,2465,2742,2588
831,2816,2500,2741,2589
832,2807,2509,2736,2594
833,2849,2467,2749,2581
834,2788,2528,2722,2608
835,2779,2537,2721,2609
836,2808,2508,2706,2624
837,2818,2498,2741,2589
838,2821,2495,2709,2621
839,2837,2479,2725,2605
840,2823,2493,2680,2650
841,2828,2488,2738,2592
842,2775,2541,2734,2596
843,2811,2505,2723,2607
844,2778,2538,2723,2607
845,2806,2510,2711,2619
846,2819,2497,2736,2594
847,2850,2466,2735,2595
848,2797,2519,2747,2583
849,2803,2513,2751,2579
850,2780,2536,2716,2614
851,2838,2478,2753,2577
852,2848,2468,2740,2590
853,2826,2490,2749,2581
854,2843,2473,2742,2588
855,2771,2545,2711,2619
856,2797,2519,2701,2629
857,2828,2488,2707,2623
858,2845,2471,2707,2623
859,2777,2539,2746,2584
860,2822,2494,2744,2586
861,2866,2450,2713,2617
862,2803,2513,2734,2596
863,2798,2518,2689,2641
864,2809,2507,2691,2639
865,2817,2499,2713,2617
866,2812,2504,2761,2569
867,2807,2509,2730,2600
868,2788,2528,2733,2597
869,2848,2468,2721,2609
870,2807,2509,2709,2621
871,2782,2534,2713,2617
872,2836,2480,2720,2610
873,2841,2475,2766,2564
874,2864,2452,2739,2591
875,2801,2515,2716,2614
876,2819,2497,2718,2612
877,2815,2501,2750,2580
878,2771,2545,2732,2598
879,2837,2479,2752,2578
880,2791,2525,2709,2621
881,2806,2510,2705,2625
882,2838,2478,2705,2625
883,2766,2550,2741,2589
884,2788,2528,2749,2581
885,2822,2494,2745,2585
886,2836,2480,2718,2612
887,2805,2511,2739,2591
888,2785,2531,2697,2633
889,2831,2485,2734,2596
890,2827,2489,2731,2599
